Город,Район ,Айыл кенеш,село/город,Код ОЗ,Краткое название ОЗ  ,Полное название ОЗ,Вид ,Тип организации 
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1263,ГСВ №3,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №3,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1264,ГСВ №4,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №4,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1271,ГСВ №5,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №5,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1272,ГСВ №6,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №6,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1273,ГСВ №7,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №7,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1274,ГСВ №8,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №8,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1002,СТОМПОЛИКЛИНИКА №5,СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА №5,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1309,НЦ ФТИЗИАТРИИ,НАЦИОНАЛЬНЫЙ ЦЕНТР ФТИЗИАТРИИ,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1310,НЦ ОНКОЛОГИИ И ГЕМАТОЛОГИИ ПРИ  МЗ КР,НАЦИОНАЛЬНЫЙ ЦЕНТР ОНКОЛОГИИ И ГЕМАТОЛОГИИ ПРИ МИНИСТЕРСТВЕ ЗДРАВООХРАНЕНИЯ КР,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1561,ГСВ №9,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №9,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1562,ГСВ №10,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №10,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1563,ГСВ №11,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ  №11,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1566,ГСВ №12,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №12,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1567,ГСВ №13,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №13,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1568,ГСВ №14,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №14,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1569,ГСВ №15,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №15,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1300,РЦ  НАРКОЛОГИИ,РЕСПУБЛИКАНСКИЙ ЦЕНТР НАРКОЛОГИИ,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1303,ГОРОД  ДЕТ.ЦЕНТР  ПРОФ И РЕБ.ТУБЕРКУЛЕЗА,ГОРОДСКОЙ  ДЕТСКИЙ  ЦЕНТР ПРОФИЛАКТИКИ И РЕАБИЛИТАЦИИ ТУБЕРКУЛЕЗА,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1304,ГКБ №6,ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА №6,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1305,ГОР. ДЕТСК. КЛИНИЧ. БОЛЬНИЦА СКОРОЙ ПОМ.,ГОРОДСКАЯ ДЕТСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1315,РЦ  ПСИХИЧЕСКОГО ЗДОРОВЬЯ,РЕСПУБЛИКАНСКИЙ ЦЕНТР ПСИХИЧЕСКОГО ЗДОРОВЬЯ,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1318,ГОРОДСКОЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР,ГОРОДСКОЙ  ПЕРИНАТАЛЬНЫЙ ЦЕНТР,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1320,ГОР. ЦЕНТР МЕДИКО-КОНСУЛЬТАТ УСЛУГ И СПМ,ГОРОДСКОЙ ЦЕНТР МЕДИКО-КОНСУЛЬТАТИВНЫХ УСЛУГ И СПОРТИВНОЙ МЕДИЦИНЫ,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Октябрьский район,,г.Бишкек (Окт. р-н),1034,ОЦСМ ОКТЯБРЬСКОГО РАЙОНА Г.БИШКЕК,ОБЪЕДИНЕННЫЙ ЦЕНТР СЕМЕЙНОЙ МЕДИЦИНЫ  ОКТЯБРЬСКОГО РАЙОНА Г.БИШКЕК,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Первомайский район,,г.Бишкек (Перв. р-н),1321,ЭНДОКРИНОЛОГИЧЕСКИЙ ЦЕНТР ПРИ МЗ КР,ЭНДОКРИНОЛОГИЧЕСКИЙ ЦЕНТР ПРИ МИНИСТЕРСТВЕ ЗДРАВООХРАНЕНИЯ  КЫРГЫЗСКОЙ РЕСПУБЛИКИ,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Первомайский район,,г.Бишкек (Перв. р-н),1322,ПОЛИКЛИНИКА СТУДЕНТОВ,ПОЛИКЛИНИКА СТУДЕНТОВ,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Первомайский район,,г.Бишкек (Перв. р-н),1324,СТОМПОЛИКЛИНИКА №6,СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА №6,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Первомайский район,,г.Бишкек (Перв. р-н),1325,ГОРОДСКАЯ ГИНЕКОЛОГИЧЕСКАЯ БОЛЬНИЦА,ГОРОДСКАЯ ГИНЕКОЛОГИЧЕСКАЯ БОЛЬНИЦА,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Первомайский район,,г.Бишкек (Перв. р-н),1328,НЦК и Т им. М.МИРРАХИМОВА при  МЗ КР,НАЦИОНАЛЬНЫЙ ЦЕНТР КАРДИОЛОГИИ И ТЕРАПИИ ИМЕНИ АКАДЕМИКА МИРСАИДА МИРРАХИМОВА ПРИ МЗ КР,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Первомайский район,,г.Бишкек (Перв. р-н),1329,НАЦ. ГОСПИТАЛЬ,НАЦИОНАЛЬНЫЙ  ГОСПИТАЛЬ,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Первомайский район,,г.Бишкек (Перв. р-н),1331,РЕСП. КЛИНИЧ. ИНФЕКЦИОННАЯ БОЛЬНИЦА,РЕСПУБЛИКАНСКАЯ КЛИНИЧЕСКАЯ ИНФЕКЦИОННАЯ БОЛЬНИЦА,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Первомайский район,,г.Бишкек (Перв. р-н),1307,СТОМПОЛИКЛИНИКА №3,СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА №3,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Первомайский район,,г.Бишкек (Перв. р-н),1314,РЦ ДЕРМАТОВЕНЕРОЛОГИИ,РЕСПУБЛИКАНСКИЙ ЦЕНТР ДЕРМАТОВЕНЕРОЛОГИИ,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Первомайский район,,г.Бишкек (Перв. р-н),1422,КОНСУЛЬТАТИВАНАЯ ПОЛИКЛИНИКА ВЕТЕРАНОВ,КОНСУЛЬТАТИВАНАЯ  ПОЛИКЛИНИКА ВЕТЕРАНОВ,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Первомайский район,,г.Бишкек (Перв. р-н),1007,ЦЕНТР ЭКСТРЕННОЙ МЕДИЦИНЫ г.БИШКЕК,ЦЕНТР ЭКСТРЕННОЙ МЕДИЦИНЫ г.БИШКЕК,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Первомайский район,,г.Бишкек (Перв. р-н),1020,ГОРОДСКОЙ ЦЕНТР БОРЬБЫ С ТУБЕРКУЛЕЗОМ,ГОРОДСКОЙ ЦЕНТР БОРЬБЫ С ТУБЕРКУЛЕЗОМ,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Первомайский район,,г.Бишкек (Перв. р-н),1036,ОЦСМ ПЕРВОМАЙСКОГО РАЙОНА Г.БИШКЕК,ОБЪЕДИНЕННЫЙ ЦЕНТР СЕМЕЙНОЙ МЕДИЦИНЫ  ПЕРВОМАЙСКОГО РАЙОНА Г.БИШКЕК,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Первомайский район,,г.Бишкек (Перв. р-н),1028,РЕСПУБ ЦЕНТР КАРАН и ОСОБО ОПАСНЫХ ИНФЕК,РЕСПУБЛИКАНСКИЙ ЦЕНТР КАРАНТИННЫХ И ОСОБО ОПАСНЫХ ИНФЕКЦИЙ,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Первомайский район,,г.Бишкек (Перв. р-н),1029,ГСВ №33,ГСВ №33,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Первомайский район,,г.Бишкек (Перв. р-н),1283,ГСВ №7,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №7,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Первомайский район,,г.Бишкек (Перв. р-н),1284,ГСВ №8,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №8,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Первомайский район,,г.Бишкек (Перв. р-н),1285,ГСВ №9,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №9,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Первомайский район,,г.Бишкек (Перв. р-н),1277,ГСВ №16,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №16,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Первомайский район,,г.Бишкек (Перв. р-н),1278,ГСВ №17,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №17,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1279,ГСВ №6,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №6,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1280,ГСВ №22,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №22,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1281,ГСВ №23,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №23,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1290,ГОРОДСКАЯ ПРОТИВОТУББОЛЬНИЦА,ГОРОДСКАЯ ПРОТИВОТУБЕРКУЛЕЗНАЯ БОЛЬНИЦА,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1293,РОДДОМ №1,РОДИЛЬНЫЙ ДОМ №1,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Перв. р-н),1294,РДЦ,РЕСПУБЛИКАНСКИЙ ДИАГНОСТИЧЕСКИЙ ЦЕНТР,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1033,ОЦСМ СВЕРДЛОВСКОГО РАЙОНА ГОРОДА БИШКЕК,ОБЪЕДИНЕННЫЙ ЦЕНТР СЕМЕЙНОЙ МЕДИЦИНЫ  СВЕРДЛОВСКОГО РАЙОНА ГОРОДА БИШКЕК,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1021,ГСВ №6,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №6,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1023,ГСВ №11,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №11,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1024,ГСВ №15,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №15,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1025,ГСВ №15,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №15,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1001,СТОМПОЛИКЛИНИКА №4,СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА №4,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1172,ГСВ №1,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №1,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1173,ГСВ №2,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №2,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1174,ГСВ №3,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №3,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1175,ГСВ №4,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №4,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1176,ГСВ №5,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №5,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1182,ГСВ №7,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №1,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1185,ГСВ №8,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №2,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1186,ГСВ №9,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №9,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1187,ГСВ №10,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №10,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1189,"ГСВ ""БАКАЙ-АТА""","ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""БАКАЙ-АТА""",Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1192,"ГСВ ""УЧКУН""","ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""УЧКУН""",Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1193,"ГСВ ""ТУНГУЧ""","ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ТУНГУЧ""",Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1198,ГСВ №11,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №11,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1200,ГСВ №13,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №13,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1201,ГСВ №14,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №14,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1203,ГСВ №12,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №12,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1204,ГСВ №16,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №16,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1205,ГСВ №17,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №17,Лечебно-профилактические организации,Государственные организации Минздрава
г.Бишкек,Свердловский район,,г.Бишкек (Свердл. р-н),1206,ГСВ №18,ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №18,Лечебно-профилактические организации,Государственные организации Минздрава
